code,name,date,event_type,status,price,source,eval_label,ret_1d,ret_3d,ret_5d,max_5d,min_5d
512800,银行ETF,2026-06-12,buy,★ 买入信号,0.814,scan_20260612_intraday.log,失效,-0.014742014742014642,-0.035626535626535505,-0.05282555282555279,-0.014742014742014642,-0.0589680589680589
562800,稀有金属ETF,2026-06-12,buy,★ 买入信号,1.097,scan_20260612_intraday.log,有效,0.0,0.05651777575205119,0.06198723792160443,0.06198723792160443,0.0
510300,沪深300ETF,2026-06-16,buy,★ 买入信号,4.91,scan_20260616_intraday.log,有效,0.009775967413441888,0.03686354378818746,0.011608961303462229,0.03686354378818746,0.006517311608961407
512100,中证1000ETF,2026-06-16,buy,★ 买入信号,3.491,scan_20260616_intraday.log,有效,0.008020624462904635,0.025494127757089702,0.017187052420509996,0.025494127757089702,0.005442566599828114
512800,银行ETF,2026-06-17,sell_proxy,✗ 趋势偏弱,0.785,scan_20260617_intraday.log,有效,-0.02420382165605095,-0.008917197452229297,-0.04713375796178343,-0.008917197452229297,-0.04713375796178343
515070,人工智能ETF,2026-06-17,buy,★ 买入信号,2.541,scan_20260617_intraday.log,有效,0.04958677685950419,0.02046438410074769,0.04132231404958686,0.059818968909878034,0.02046438410074769
588000,科创50ETF,2026-06-17,buy,★ 买入信号,1.939,scan_20260617_intraday.log,有效,0.04022692109334702,0.04332129963898912,0.11139762764311478,0.11139762764311478,0.04022692109334702
159915,创业板ETF,2026-06-22,buy,★ 买入信号,4.379,scan_20260622_intraday.log,待观察,-0.03859328613838764,-0.032655857501712626,,-0.02763187942452605,-0.03859328613838764
159995,芯片ETF,2026-06-22,buy,★ 买入信号,2.92,scan_20260622_intraday.log,待观察,-0.022945205479452002,0.07534246575342474,,0.07534246575342474,-0.022945205479452002
510500,中证500ETF,2026-06-22,buy,★ 买入信号,9.007,scan_20260622_intraday.log,待观察,-0.021316753636060892,-0.013878094815143793,,-0.002442544687465298,-0.021316753636060892
512400,有色金属ETF,2026-06-22,buy,★ 买入信号,2.155,scan_20260622_intraday.log,待观察,-0.08306264501160088,-0.14292343387470996,,-0.08120649651972145,-0.14292343387470996
512480,半导体ETF,2026-06-22,buy,★ 买入信号,2.552,scan_20260622_intraday.log,待观察,-0.01567398119122254,0.08346394984326011,,0.08346394984326011,-0.01567398119122254
512880,证券ETF,2026-06-22,buy,★ 买入信号,1.131,scan_20260622_intraday.log,待观察,0.0,-0.014146772767462457,,0.0,-0.017683465959328015
512400,有色金属ETF,2026-06-23,sell_proxy,✗ 趋势偏弱,1.976,scan_20260623_intraday.log,待观察,0.002024291497975783,,,0.002024291497975783,-0.06528340080971662
